"","re","maxconc"
"1",1,297
"2",2,544
"3",3,600
"4",4,600
"5",5,600
"6",6,600
"7",7,600
"8",8,600
"9",9,600
"10",10,600
"11",11,600
"12",12,600
"13",13,600
"14",14,600
"15",15,600
"16",16,600
"17",17,600
"18",18,600
"19",19,600
"20",20,600
"21",21,600
"22",22,600
"23",23,600
"24",24,600
"25",25,600
"26",26,600
"27",27,600
"28",28,600
"29",29,600
"30",30,600
"31",31,600
"32",32,600
"33",33,600
"34",34,600
"35",35,600
"36",36,600
"37",37,600
"38",38,600
"39",39,600
"40",40,600
"41",41,600
"42",42,600
"43",43,600
"44",44,600
"45",45,600
"46",46,600
"47",47,600
"48",48,600
"49",49,600
"50",50,600
"51",51,600
"52",52,600
"53",53,600
"54",54,600
"55",55,600
"56",56,600
"57",57,600
"58",58,600
"59",59,600
"60",60,600
"61",61,600
"62",62,600
"63",63,600
"64",64,600
"65",65,600
"66",66,600
"67",67,600
"68",68,600
"69",69,600
"70",70,600
"71",71,600
"72",72,600
"73",73,600
"74",74,600
"75",75,600
"76",76,600
"77",77,600
"78",78,600
"79",79,600
"80",80,600
