"","re","maxconc"
"1",1,297
"2",2,497
"3",3,500
"4",4,500
"5",5,500
"6",6,500
"7",7,500
"8",8,500
"9",9,500
"10",10,500
"11",11,500
"12",12,500
"13",13,500
"14",14,500
"15",15,500
"16",16,500
"17",17,500
"18",18,500
"19",19,500
"20",20,500
"21",21,500
"22",22,500
"23",23,500
"24",24,500
"25",25,500
"26",26,500
"27",27,500
"28",28,500
"29",29,500
"30",30,500
"31",31,500
"32",32,500
"33",33,500
"34",34,500
"35",35,500
"36",36,500
"37",37,500
"38",38,500
"39",39,500
"40",40,500
"41",41,500
"42",42,500
"43",43,500
"44",44,500
"45",45,500
"46",46,500
"47",47,500
"48",48,500
"49",49,500
"50",50,500
"51",51,500
"52",52,500
"53",53,500
"54",54,500
"55",55,500
"56",56,500
"57",57,500
"58",58,500
"59",59,500
"60",60,500
"61",61,500
"62",62,500
"63",63,500
"64",64,500
"65",65,500
"66",66,500
"67",67,500
"68",68,500
"69",69,500
"70",70,500
"71",71,500
"72",72,500
"73",73,500
"74",74,500
"75",75,500
"76",76,500
"77",77,500
"78",78,500
"79",79,500
"80",80,500
